iteration,metric,tolerance,variation
317,imbalanceNumPoints,0.000000,2.000000
318,imbalanceNumPoints,0.000000,2.000000
319,imbalanceNumPoints,0.000000,2.000000
320,imbalanceNumPoints,0.000000,2.000000
321,imbalanceNumPoints,0.000000,2.000000
322,imbalanceNumPoints,0.000000,2.000000
323,imbalanceNumPoints,0.000000,2.000000
324,imbalanceNumPoints,0.000000,2.000000
325,imbalanceNumPoints,0.000000,2.000000
326,imbalanceNumPoints,0.000000,2.000000
327,imbalanceNumPoints,0.000000,2.000000
328,imbalanceNumPoints,0.000000,2.000000
329,imbalanceNumPoints,0.000000,2.000000
330,imbalanceNumPoints,0.000000,2.000000
331,imbalanceNumPoints,0.000000,2.000000
332,imbalanceNumPoints,0.000000,2.000000
333,imbalanceNumPoints,0.000000,2.000000
334,imbalanceNumPoints,0.000000,2.000000
335,imbalanceNumPoints,0.000000,2.000000
336,imbalanceNumPoints,0.000000,2.000000
337,imbalanceNumPoints,0.000000,2.000000
338,imbalanceNumPoints,0.000000,2.000000
339,imbalanceNumPoints,0.000000,2.000000
340,imbalanceNumPoints,0.000000,2.000000
341,imbalanceNumPoints,0.000000,2.000000
342,imbalanceNumPoints,0.000000,2.000000
343,imbalanceNumPoints,0.000000,2.000000
344,imbalanceNumPoints,0.000000,2.000000
345,imbalanceNumPoints,0.000000,2.000000
346,imbalanceNumPoints,0.000000,2.000000
347,imbalanceNumPoints,0.000000,2.000000
348,imbalanceNumPoints,0.000000,2.000000
349,imbalanceNumPoints,0.000000,2.000000
350,imbalanceNumPoints,0.000000,2.000000
351,imbalanceNumPoints,0.000000,2.000000
352,imbalanceNumPoints,0.000000,2.000000
353,imbalanceNumPoints,0.000000,2.000000
354,imbalanceNumPoints,0.000000,2.000000
355,imbalanceNumPoints,0.000000,2.000000
356,imbalanceNumPoints,0.000000,2.000000
357,imbalanceNumPoints,0.000000,2.000000
358,imbalanceNumPoints,0.000000,2.000000
359,imbalanceNumPoints,0.000000,2.000000
360,imbalanceNumPoints,0.000000,2.000000
361,imbalanceNumPoints,0.000000,2.000000
362,imbalanceNumPoints,0.000000,2.000000
363,imbalanceNumPoints,0.000000,2.000000
364,imbalanceNumPoints,0.000000,2.000000
365,imbalanceNumPoints,0.000000,2.000000
366,imbalanceNumPoints,0.000000,2.000000
367,imbalanceNumPoints,0.000000,2.000000
368,imbalanceNumPoints,0.000000,2.000000
369,imbalanceNumPoints,0.000000,2.000000
370,imbalanceNumPoints,0.000000,2.000000
371,imbalanceNumPoints,0.000000,2.000000
372,imbalanceNumPoints,0.000000,2.000000
373,imbalanceNumPoints,0.000000,2.000000
374,imbalanceNumPoints,0.000000,2.000000
375,imbalanceNumPoints,0.000000,2.000000
376,imbalanceNumPoints,0.000000,2.000000
377,imbalanceNumPoints,0.000000,2.000000
378,imbalanceNumPoints,0.000000,2.000000
379,imbalanceNumPoints,0.000000,2.000000
380,imbalanceNumPoints,0.000000,2.000000
381,imbalanceNumPoints,0.000000,2.000000
382,imbalanceNumPoints,0.000000,2.000000
383,imbalanceNumPoints,0.000000,2.000000
384,imbalanceNumPoints,0.000000,2.000000
385,imbalanceNumPoints,0.000000,2.000000
386,imbalanceNumPoints,0.000000,2.000000
387,imbalanceNumPoints,0.000000,2.000000
388,imbalanceNumPoints,0.000000,2.000000
389,imbalanceNumPoints,0.000000,2.000000
390,imbalanceNumPoints,0.000000,2.000000
391,imbalanceNumPoints,0.000000,2.000000
392,imbalanceNumPoints,0.000000,2.000000
393,imbalanceNumPoints,0.000000,2.000000
394,imbalanceNumPoints,0.000000,2.000000
395,imbalanceNumPoints,0.000000,2.000000
396,imbalanceNumPoints,0.000000,2.000000
397,imbalanceNumPoints,0.000000,2.000000
398,imbalanceNumPoints,0.000000,2.000000
399,imbalanceNumPoints,0.000000,2.000000
400,imbalanceNumPoints,0.000000,2.000000
401,imbalanceNumPoints,0.000000,2.000000
402,imbalanceNumPoints,0.000000,2.000000
403,imbalanceNumPoints,0.000000,2.000000
404,imbalanceNumPoints,0.000000,2.000000
405,imbalanceNumPoints,0.000000,2.000000
406,imbalanceNumPoints,0.000000,2.000000
407,imbalanceNumPoints,0.000000,2.000000
408,imbalanceNumPoints,0.000000,2.000000
409,imbalanceNumPoints,0.000000,2.000000
410,imbalanceNumPoints,0.000000,2.000000
411,imbalanceNumPoints,0.000000,2.000000
412,imbalanceNumPoints,0.000000,2.000000
413,imbalanceNumPoints,0.000000,2.000000
414,imbalanceNumPoints,0.000000,2.000000
415,imbalanceNumPoints,0.000000,2.000000
416,imbalanceNumPoints,0.000000,2.000000
417,imbalanceNumPoints,0.000000,2.000000
418,imbalanceNumPoints,0.000000,2.000000
419,imbalanceNumPoints,0.000000,2.000000
420,imbalanceNumPoints,0.000000,2.000000
421,imbalanceNumPoints,0.000000,2.000000
422,imbalanceNumPoints,0.000000,2.000000
423,imbalanceNumPoints,0.000000,2.000000
424,imbalanceNumPoints,0.000000,2.000000
425,imbalanceNumPoints,0.000000,2.000000
426,imbalanceNumPoints,0.000000,2.000000
427,imbalanceNumPoints,0.000000,2.000000
428,imbalanceNumPoints,0.000000,2.000000
429,imbalanceNumPoints,0.000000,2.000000
430,imbalanceNumPoints,0.000000,2.000000
431,imbalanceNumPoints,0.000000,2.000000
432,imbalanceNumPoints,0.000000,2.000000
433,imbalanceNumPoints,0.000000,2.000000
434,imbalanceNumPoints,0.000000,2.000000
435,imbalanceNumPoints,0.000000,2.000000
436,imbalanceNumPoints,0.000000,2.000000
437,imbalanceNumPoints,0.000000,2.000000
438,imbalanceNumPoints,0.000000,2.000000
439,imbalanceNumPoints,0.000000,2.000000
440,imbalanceNumPoints,0.000000,2.000000
441,imbalanceNumPoints,0.000000,2.000000
442,imbalanceNumPoints,0.000000,2.000000
443,imbalanceNumPoints,0.000000,2.000000
444,imbalanceNumPoints,0.000000,2.000000
445,imbalanceNumPoints,0.000000,2.000000
446,imbalanceNumPoints,0.000000,2.000000
447,imbalanceNumPoints,0.000000,2.000000
448,imbalanceNumPoints,0.000000,2.000000
449,imbalanceNumPoints,0.000000,2.000000
450,imbalanceNumPoints,0.000000,2.000000
451,imbalanceNumPoints,0.000000,2.000000
452,imbalanceNumPoints,0.000000,2.000000
453,imbalanceNumPoints,0.000000,2.000000
454,imbalanceNumPoints,0.000000,2.000000
455,imbalanceNumPoints,0.000000,2.000000
456,imbalanceNumPoints,0.000000,2.000000
457,imbalanceNumPoints,0.000000,2.000000
458,imbalanceNumPoints,0.000000,2.000000
459,imbalanceNumPoints,0.000000,2.000000
460,imbalanceNumPoints,0.000000,2.000000
461,imbalanceNumPoints,0.000000,2.000000
462,imbalanceNumPoints,0.000000,2.000000
463,imbalanceNumPoints,0.000000,2.000000
464,imbalanceNumPoints,0.000000,2.000000
465,imbalanceNumPoints,0.000000,2.000000
466,imbalanceNumPoints,0.000000,2.000000
467,imbalanceNumPoints,0.000000,2.000000
468,imbalanceNumPoints,0.000000,2.000000
469,imbalanceNumPoints,0.000000,2.000000
470,imbalanceNumPoints,0.000000,2.000000
471,imbalanceNumPoints,0.000000,2.000000
472,imbalanceNumPoints,0.000000,2.000000
473,imbalanceNumPoints,0.000000,2.000000
474,imbalanceNumPoints,0.000000,2.000000
475,imbalanceNumPoints,0.000000,2.000000
476,imbalanceNumPoints,0.000000,2.000000
477,imbalanceNumPoints,0.000000,2.000000
478,imbalanceNumPoints,0.000000,2.000000
479,imbalanceNumPoints,0.000000,2.000000
480,imbalanceNumPoints,0.000000,2.000000
481,imbalanceNumPoints,0.000000,2.000000
482,imbalanceNumPoints,0.000000,2.000000
484,imbalanceNumPoints,0.000000,2.000000
486,imbalanceNumPoints,0.000000,2.000000
487,silhouetteCluster1,0.080000,-0.223954
